Date (Quarterly),GDP YoY % Change,PMI,CPI,Core CPI,Unemployment Levels %,Unnamed: 6,Unnamed: 7,Consensus Forecast,Unnamed: 9,GDP,PMI.1,CPI F,Core CPI.1,Unemployment,Unnamed: 15,Surprise,GDP.1,PMI.2,CPI.1,Core CPI.2,Unemployment 
2017-07-01,2.41082,,1.94494,2.099392667,4.3,,,,,4.45134224,,1.7,1.82,4.3,,,-2.04052224,0.0,0.24494,0.279392667,0.0
2017-10-01,2.99414,,2.10778,2.131523333,4.2,,,,,4.50553107,,2.6,1.95,4.16,,,-1.51139107,0.0,-0.49222,0.181523333,0.04
2018-01-01,3.32881,,2.24862,2.21595,4.0,,,,,4.91973757,,2.61,2.25,4.04,,,-1.59092757,0.0,-0.36138,-0.03405,-0.04
2018-04-01,3.29896,,2.68679,2.528900333,3.9,,,,,5.12770933,,2.01,2.3,3.94,,,-1.82874933,0.0,0.67679,0.228900333,-0.04
2018-07-01,3.13003,,2.60892,2.471359,3.8,,,,,5.08981901,,2.34,2.27,3.83,,,-1.95978901,0.0,0.26892,0.201359,-0.03
2018-10-01,2.12511,,2.21352,2.449275667,3.8,,,,,4.90983536,,2.4,2.12,3.71,,,-2.78472536,0.0,-0.18648,0.329275667,0.09
2019-01-01,1.93356,,1.63002,2.369314333,3.9,,,,,4.30576022,,1.23,2.35,3.84,,,-2.37220022,0.0,0.40002,0.019314333,0.06
2019-04-01,2.24213,,1.82238,2.382091,3.6,,,,,4.21919743,,2.67,2.05,3.68,,,-1.97706743,0.0,-0.84762,0.332091,-0.08
2019-07-01,2.79722,,1.7494,2.576418333,3.6,,,,,3.98259875,,1.83,2.16,3.64,,,-1.18537875,0.0,-0.0806,0.416418333,-0.04
2019-10-01,3.35178,,2.04859,2.757408667,3.6,,,,,3.89682914,,1.84,2.13,3.61,,,-0.54504914,0.0,0.20859,0.627408667,-0.01
2020-01-01,1.35854,,2.14377,2.728259667,3.8,,,,,4.04612807,,1.92,2.07,3.56,,,-2.68758807,0.0,0.22377,0.658259667,0.24
2020-04-01,-7.39861,,0.40928,2.052991333,13.0,,,,,-1.8147307,,-2.39,0.54,15.81,,,-5.5838793,0.0,2.79928,1.512991333,-2.81
2020-07-01,-1.36467,,1.22314,2.166882,8.8,,,,,10.1530894,,1.91,1.29,10.21,,,-11.5177594,0.0,-0.68686,0.876882,-1.41
2020-10-01,-0.92222,,1.24227,1.686965333,6.8,,,,,5.59116058,,2.16,2.07,7.09,,,-6.51338058,0.0,-0.91773,-0.383034667,-0.29
2021-01-01,1.80075,,1.90276,1.470972858,6.2,,,,,6.90613227,,2.48,1.8,6.41,,,-5.10538227,0.0,-0.57724,-0.329027142,-0.21
2021-04-01,12.38567,,4.78296,2.451842584,5.9,,,,,8.54651956,,3.38,2.69,5.79,,,3.83915044,0.0,1.40296,-0.238157416,0.11
2021-07-01,5.15081,,5.24956,2.412789425,5.1,,,,,7.96108574,,5.09,4.78,5.32,,,-2.81027574,0.0,0.15956,-2.367210575,-0.22
2021-10-01,5.75618,,6.77144,3.217666375,4.2,,,,,7.29873694,,4.62,3.34,4.57,,,-1.54255694,0.0,2.15144,-0.122333625,-0.37
2022-01-01,4.03458,,8.02425,4.258498781,3.9,,,,,6.70810935,,5.52,4.9,3.93,,,-2.67352935,0.0,2.50425,-0.641501219,-0.03
2022-04-01,2.45379,,8.58498,5.020272036,3.6,,,,,6.74121125,,7.21,5.19,3.6,,,-4.28742125,0.0,1.37498,-0.169727964,0.0
2022-07-01,2.34897,,8.29211,5.950826359,3.5,,,,,5.4193937,,6.29,5.7,3.57,,,-3.0704237,0.0,2.00211,0.250826359,-0.07
2022-10-01,1.31707,,7.09195,6.428546372,3.6,,,,,4.40919495,,5.23,5.37,3.7,,,-3.09212495,0.0,1.86195,1.058546372,-0.1
2023-01-01,2.31115,,5.72985,6.470147026,3.5,,,,,3.59232669,,3.34,3.87,3.59,,,-1.28117669,0.0,2.38985,2.600147026,-0.09
2023-04-01,2.79261,,4.04394,5.941360414,3.5,,,,,3.57084052,,3.47,4.41,3.6,,,-0.77823052,0.0,0.57394,1.531360414,-0.1
2023-07-01,3.23319,,3.56605,5.168161782,3.6,,,,,3.994887,,3.07,3.47,3.61,,,-0.761697,0.0,0.49605,1.698161782,-0.01
2023-10-01,3.39089,,3.2335,4.714272364,3.8,,,,,4.2112337,,3.16,3.06,3.84,,,-0.8203437,0.0,0.0735,1.654272364,-0.04
2024-01-01,2.86329,,3.24436,4.508703317,3.8,,,,,4.10175862,,2.53,3.0,3.78,,,-1.23846862,0.0,0.71436,1.508703317,0.02
2024-04-01,3.12663,,3.19152,4.321644599,4.0,,,,,4.5326838,,3.59,3.51,3.9,,,-1.4060538,0.0,-0.39848,0.811644599,0.1
2024-07-01,2.79139,,2.65761,4.101889827,4.2,,,,,4.19746868,,2.16,2.63,4.21,,,-1.40607868,0.0,0.49761,1.471889827,-0.01
2024-10-01,2.39979,,2.72317,3.872992325,4.1,,,,,4.50991416,,2.21,2.81,4.19,,,-2.11012416,0.0,0.51317,1.062992325,-0.09
2025-01-01,2.01927,,2.72398,3.470512511,4.1,,,,,4.86543778,,3.02,2.97,4.12,,,-2.84616778,0.0,-0.29602,0.500512511,-0.02
2025-04-01,2.08047,,2.46103,3.216222504,4.2,,,,,4.36054703,,3.13,3.54,4.22,,,-2.28007703,0.0,-0.66897,-0.323777496,-0.02
2025-07-01,2.33517,,2.90143,3.393395611,4.3,,,,,4.2124982,,2.91,3.02,4.28,,,-1.8773282,0.0,-0.00857,0.373395611,0.02
2025-10-01,2.03257,,2.82997,3.012987073,4.5,,,,,4.33849451,,3.07,3.17,4.4,,,-2.30592451,0.0,-0.24003,-0.157012927,0.1
2026-01-01,,,,,,,,,,4.99265605,,2.69,2.72,4.42,,,-4.99265605,0.0,-2.69,-2.72,-4.42
2026-04-01,,,,,,,,,,,,,,,,,,,,,
2026-07-01,,,,,,,,,,,,,,,,,,,,,
